t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
1.4500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.4600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.4700,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.4800,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.4900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.5000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.5100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.5200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.5300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.5400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.5500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.5600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.5700,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.5800,9.0159,112.6111,-114.8814,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.5900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.6000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
