q1_deg,q2_deg,q3_deg
102.0758,40.5822,-150.2182
102.0758,40.9857,-150.1899
102.0758,41.4085,-150.1602
102.0758,41.8502,-150.1292
102.0758,42.3102,-150.0969
102.0758,42.7881,-150.0633
102.0758,43.2833,-150.0285
102.0758,43.7952,-149.9926
102.0758,44.3230,-149.9555
102.0758,44.8661,-149.9174
102.0758,45.4237,-149.8782
102.0758,45.9951,-149.8381
102.0758,46.5793,-149.7970
102.0758,47.1756,-149.7552
102.0758,47.7830,-149.7125
102.0758,48.4006,-149.6691
102.0758,49.0275,-149.6251
102.0758,49.6626,-149.5805
102.0758,50.3051,-149.5354
102.0758,50.9538,-149.4898
102.0758,51.6078,-149.4439
102.0758,52.2661,-149.3977
102.0758,52.9275,-149.3512
102.0758,53.5910,-149.3046
102.0758,54.2556,-149.2580
102.0758,54.9202,-149.2113
102.0758,55.5838,-149.1647
102.0758,56.2452,-149.1183
102.0758,56.9034,-149.0720
102.0758,57.5574,-149.0261
102.0758,58.2062,-148.9805
102.0758,58.8486,-148.9354
102.0758,59.4838,-148.8908
102.0758,60.1106,-148.8468
102.0758,60.7282,-148.8034
102.0758,61.3356,-148.7608
102.0758,61.9319,-148.7189
102.0758,62.5161,-148.6779
102.0758,63.0875,-148.6378
102.0758,63.6451,-148.5986
102.0758,64.1882,-148.5605
102.0758,64.7161,-148.5234
102.0758,65.2279,-148.4874
102.0758,65.7231,-148.4527
102.0758,66.2010,-148.4191
102.0758,66.6611,-148.3868
102.0758,67.1027,-148.3558
102.0758,67.5255,-148.3261
102.0758,67.9290,-148.2978
102.0758,68.3129,-148.2708
102.0758,68.6768,-148.2452
102.0758,69.0206,-148.2211
102.0758,69.3440,-148.1984
102.0758,69.6469,-148.1771
102.0758,69.9295,-148.1573
102.0758,70.1916,-148.1389
102.0758,70.4334,-148.1219
102.0758,70.6551,-148.1063
102.0758,70.8570,-148.0921
102.0758,71.0395,-148.0793
102.0758,71.2030,-148.0678
102.0758,71.3481,-148.0577
102.0758,71.4753,-148.0487
102.0758,71.5855,-148.0410
102.0758,71.6795,-148.0344
102.0758,71.7582,-148.0289
102.0758,71.8226,-148.0243
102.0758,71.8738,-148.0207
102.0758,71.9131,-148.0180
102.0758,71.9419,-148.0159
102.0758,71.9616,-148.0146
102.0758,71.9739,-148.0137
102.0758,71.9802,-148.0133
102.0758,71.9826,-148.0131
102.0758,71.9830,-148.0131
102.0750,71.9830,-148.0130
102.0697,71.9828,-148.0124
102.0555,71.9824,-148.0110
102.0285,71.9817,-148.0082
101.9849,71.9804,-148.0037
101.9211,71.9786,-147.9971
101.8340,71.9761,-147.9882
101.7205,71.9729,-147.9765
101.5779,71.9689,-147.9618
101.4037,71.9639,-147.9439
101.1956,71.9580,-147.9225
100.9515,71.9511,-147.8974
100.6697,71.9431,-147.8684
100.3484,71.9339,-147.8354
99.9863,71.9237,-147.7981
99.5822,71.9122,-147.7565
99.1351,71.8995,-147.7105
98.6440,71.8856,-147.6600
98.1086,71.8703,-147.6050
